Nome,Ruolo,Squadra,Quotazione,U21
Aboukhlal,A,Torino,9,
Acerbi,Dc,Inter,9,
Adams C.,A,Torino,14,
Addai,W;A,Como,7,U21
Adopo,M;C,Cagliari,6,
Aebischer,C,Pisa,4,
Ahanor,B;Ds;E,Atalanta,7,U21
Akinsanmiro,C;T,Pisa,3,U21
Alli,T,Como,1,
Almqvist,W;A,Parma,4,
Alvarez A.,Pc,Sassuolo,1,
Angelino,E,Roma,14,
Angori,Ds;E,Pisa,5,
Anjorin,C;T,Torino,10,
Arena,W;T,Pisa,1,
Asllani,M;C,Inter,4,
Atta,C,Udinese,6,
Audero,Por,Cremonese,5,
Azon,Pc,Como,1,
Azzi,Ds;E,Cremonese,3,
Baldanzi,T;A,Roma,8,
Balogh,Dc,Parma,3,
Banda,W;A,Lecce,5,
Barbieri,Dd;Ds;E,Cremonese,4,
Barella,C,Inter,14,
Bartesaghi,Ds;E,Milan,3,U21
Baschirotto,Dc,Cremonese,8,
Basic,C,Lazio,1,
Bastoni,Dc,Inter,16,
Baturina,T,Como,8,
Bayo V.,Pc,Udinese,4,
Belahyane,M;C,Lazio,4,U21
Bellanova,E,Atalanta,12,
Beltran L.,A,Fiorentina,7,
Benedyczak,A,Parma,1,
Berardi,A,Sassuolo,21,
Berisha M.,C;T,Lecce,3,
Bernabè,C,Parma,11,
Bernardeschi,W;A,Bologna,8,
Bernede,C,Verona,4,
Bertola,Dc,Udinese,6,
Beukema,Dc,Napoli,10,
Bianchetti,Dc,Cremonese,3,
Bianco,M;C,Fiorentina,1,
Biraghi,Ds;E,Torino,8,
Bisseck,Dc,Inter,9,
Boloca,M;C,Sassuolo,6,
Bonazzoli,A,Cremonese,1,
Bondo,M;C,Milan,3,
Bonfanti,Dc,Atalanta,2,
Bonfanti N.,Pc,Pisa,1,
Bonny,Pc,Inter,5,
Borrelli,Pc,Cagliari,4,
Bradaric,Ds;E,Verona,4,
Bravo,A,Udinese,6,U21
Bremer,Dc,Juventus,13,
Brenner,A,Udinese,3,
Brescianini,C;T,Atalanta,8,
Buffon L.,A,Pisa,1,U21
Buongiorno,Dc,Napoli,13,
Butez,Por,Como,10,
Cabal,B;Ds;E,Juventus,5,
Calabresi,B;Dd;E,Pisa,4,
Calhanoglu,M;C,Inter,24,
Camarda,Pc,Lecce,12,U21
Cambiaghi,A,Bologna,11,
Cambiaso,E,Juventus,14,
Cancellieri,W;A,Lazio,3,
Canestrelli,Dc,Pisa,3,
Caprile,Por,Cagliari,7,
Caqueret,C;T,Como,12,
Caracciolo A.,Dc,Pisa,4,
Carboni V.,T;A,Genoa,11,U21
Carlos Augusto,B;Ds;E,Inter,11,
Carnesecchi,Por,Atalanta,14,
Casadei,C;T,Torino,12,
Casale,Dc,Bologna,4,
Castagnetti,M;C,Cremonese,3,
Castellanos,Pc,Lazio,21,
Castro S.,Pc,Bologna,19,U21
Cataldi,M;C,Lazio,5,
Ceccherini,Dd;Dc,Cremonese,4,
Celik,B;Dd;E,Roma,8,
Chukwueze,W,Milan,3,
Ciocci,Por,Cagliari,1,
Circati,Dc,Parma,5,
Coco,Dc,Torino,8,
Collocolo,M;C,Cremonese,9,
Colombo,Pc,Genoa,11,
Comuzzo,Dc,Fiorentina,7,U21
Conceicao,W;A,Juventus,17,
Contini,Por,Napoli,1,
Coppola F.,Dc,Pisa,1,U21
Corvi,Por,Parma,1,
Coulibaly L.,M;C,Lecce,8,
Cristante,M;C,Roma,9,
Cuadrado,E,Pisa,6,
Cutrone,Pc,Como,10,
Da Cunha,C;W;T,Como,13,
Dallinga,Pc,Bologna,10,
Darmian,B;Dd;E,Inter,5,
David,Pc,Juventus,27,
Davis K.,Pc,Udinese,11,
De Bruyne,T,Napoli,22,
De Gea,Por,Fiorentina,14,
De Ketelaere,A,Atalanta,23,
De Luca,Pc,Cremonese,7,
De Roon,M;C,Atalanta,13,
De Silvestri,Dd;E,Bologna,4,
De Vrij,Dc,Inter,9,
De Winter,Dd;Dc,Genoa,9,
Deiola,M;C,Cagliari,5,
Dele-Bashiru,C;T,Lazio,11,
Delprato,B;Dd;E,Parma,9,
Dembelè A.,Dd;E,Torino,1,U21
Denoon,Dc,Pisa,2,U21
Di Gennaro,Por,Inter,1,
Di Gregorio,Por,Juventus,16,
Di Lorenzo,Dd;E,Napoli,14,
Di Pardo,Dd;E,Cagliari,2,
Dia,Pc,Lazio,20,
