Giocatore,Ruolo,Squadra,Quotazione,U21
Falcone,Por,Lecce,14,
Okoye,Por,Udinese,13,
Audero,Por,Cremonese,11,
Montipò,Por,Verona,11,
Montipò,Por,Verona,11,
Muric,Por,Sassuolo,11,
Bijlow,Por,Genoa,10,
Bijlow,Por,Genoa,10,
Semper,Por,Pisa,7,
Semper,Por,Pisa,7,
Nicolas,Por,Pisa,2,
Nicolas,Por,Pisa,2,
Scuffet,Por,Pisa,2,
Scuffet,Por,Pisa,2,
Nava,Por,Cremonese,1,U21
Fruchtl,Por,Lecce,1,
Samooja,Por,Lecce,1,
Satalino,Por,Sassuolo,1,
Turati,Por,Sassuolo,1,
Padelli,Por,Udinese,1,
Padelli,Por,Udinese,1,
Sava,Por,Udinese,1,
Perilli,Por,Verona,1,
Perilli,Por,Verona,1,
Nunziante,Por,Udinese,1,U21
Silvestri,Por,Cremonese,1,
Toniolo,Por,Verona,1,U21
Toniolo,Por,Verona,1,U21
Cavlina,Por,Como,1,
Cavlina,Por,Como,1,
Ferrante,Por,Napoli,1,U21
Ferrante,Por,Napoli,1,U21
Calligaris,Por,Inter,1,U21
Calligaris,Por,Inter,1,U21
Pannozzo,Por,Lazio,1,
Pannozzo,Por,Lazio,1,
Giacomone,Por,Lazio,1,
Giacomone,Por,Lazio,1,
Vojvoda,Dd;E,Como,12,
Beukema,Dc,Napoli,11,
Bernasconi,E,Atalanta,11,
Holm,Dd;E,Juventus,10,
Holm,Dd;E,Juventus,10,
Baschirotto,Dc,Cremonese,10,
Gutierrez,Ds;E,Napoli,10,
Gutierrez,Ds;E,Napoli,10,
Miranda J.,Ds;E,Bologna,9,
Moreno Alb.,Ds;E,Como,9,
Moreno Alb.,Ds;E,Como,9,
Gallo,Ds;E,Lecce,9,
Gallo,Ds;E,Lecce,9,
Di Lorenzo,Dd;E,Napoli,9,
Di Lorenzo,Dd;E,Napoli,9,
Maripan,Dc,Torino,9,
Maripan,Dc,Torino,9,
Belghali,Dd;E,Verona,9,
Belghali,Dd;E,Verona,9,
Obrador,Ds;E,Torino,9,
Obrador,Ds;E,Torino,9,
Zortea,E,Bologna,7,
Zortea,E,Bologna,7,
Romagnoli,Dc,Lazio,8,
Rrahmani,Dc,Napoli,8,
Zanoli,Dd;E,Udinese,8,
Zanoli,Dd;E,Udinese,8,
Circati,Dc,Parma,8,
Angori,Ds;E,Pisa,8,
Angori,Ds;E,Pisa,8,
Ghilardi,Dc,Roma,8,
Athekame,Dd;E,Milan,8,
Diego Carlos,Dc,Como,8,
Diego Carlos,Dc,Como,8,
Djimsiti,Dc,Atalanta,7,
Kolasinac,B;Ds;E,Atalanta,7,
Kolasinac,B;Ds;E,Atalanta,7,
Obert,Ds;Dc,Cagliari,7,
Obert,Ds;Dc,Cagliari,7,
Idrissi R.,Ds;E,Cagliari,7,
Idrissi R.,Ds;E,Cagliari,7,
Parisi,E,Fiorentina,7,
Parisi,E,Fiorentina,7,
Gatti,Dc,Juventus,7,
Gatti,Dc,Juventus,7,
Cabal,B;Ds;E,Juventus,7,
Cabal,B;Ds;E,Juventus,7,
Joao Mario,E,Bologna,7,
Joao Mario,E,Bologna,7,
Caracciolo A.,Dc,Pisa,7,
Caracciolo A.,Dc,Pisa,7,
Rensch,B;Dd;E,Roma,7,
Rensch,B;Dd;E,Roma,7,
Angelino,E,Roma,7,
Angelino,E,Roma,7,
Garcia U.,B;Ds;E,Sassuolo,7,
Garcia U.,B;Ds;E,Sassuolo,7,
Hien,Dc,Atalanta,6,
Hien,Dc,Atalanta,6,
